,activation,batch_size,dropout,epochs,hidden_dim,hidden_layers,lookahead,lr_max,lr_sched,score,time
0,elu,200.0,0.15000000000000002,16.0,1125.0,2.0,1.0,0.0020434061749438734,OneCycle,0.01704893261194229,18.358614683151245
1,elu,128.0,0.3,22.0,1543.0,3.0,1.0,0.0002268839262942975,OneCycle,0.039191387593746185,44.39324617385864
2,elu,128.0,0.4,20.0,1000.0,3.0,1.0,0.0037436393941858194,OneCycle,0.01640409044921398,40.008949995040894
3,relu,96.0,0.05,44.0,572.0,4.0,1.0,0.0478941444112723,OneCycle,0.0328337699174881,123.39541172981262
4,relu,160.0,0.45,16.0,595.0,2.0,1.0,0.007165743244899261,OneCycle,0.017343953251838684,24.18843412399292
5,relu,96.0,0.35000000000000003,33.0,916.0,2.0,0.0,0.0017527008998919008,OneCycle,0.015258362516760826,49.12444472312927
6,relu,128.0,0.2,49.0,1393.0,3.0,1.0,0.00028752322919158734,OneCycle,0.019533222541213036,91.42084336280823
7,elu,128.0,0.35000000000000003,26.0,1451.0,4.0,0.0,0.044500259197753085,OneCycle,0.015297966077923775,42.070510149002075
8,elu,200.0,0.3,18.0,1839.0,4.0,0.0,0.0017306933499623592,OneCycle,0.016265342012047768,22.023443937301636
9,elu,96.0,0.4,6.0,1548.0,3.0,1.0,0.0005780169094622962,OneCycle,0.044257644563913345,20.098350286483765
10,relu,128.0,0.25,9.0,752.0,4.0,1.0,0.010156713765323892,OneCycle,0.018089473247528076,23.39425277709961
11,elu,128.0,0.45,1.0,1853.0,2.0,1.0,0.006552581400861012,OneCycle,0.02476358972489834,5.442207336425781
12,relu,160.0,0.2,35.0,668.0,2.0,0.0,0.0004180828724835482,OneCycle,0.017537638545036316,34.41947102546692
13,elu,128.0,0.25,8.0,876.0,2.0,1.0,0.022300205238952615,OneCycle,0.01633313298225403,15.084798812866211
14,relu,200.0,0.25,16.0,1129.0,1.0,0.0,0.075178226801818,OneCycle,0.017813077196478844,12.381464958190918
15,elu,128.0,0.25,32.0,736.0,2.0,1.0,0.0005127822410334324,OneCycle,0.018784182146191597,49.76648473739624
16,relu,128.0,0.3,3.0,773.0,3.0,0.0,0.027388545019312625,OneCycle,0.01785716600716114,6.992790460586548
17,relu,160.0,0.5,19.0,963.0,1.0,1.0,0.007574444997349289,OneCycle,0.016002407297492027,20.456064701080322
18,elu,160.0,0.45,50.0,1573.0,1.0,1.0,0.009642100280330298,OneCycle,0.01591528207063675,51.70955967903137
19,elu,128.0,0.15000000000000002,4.0,1942.0,1.0,0.0,0.00025439367432068073,OneCycle,0.08037000149488449,5.13578462600708
20,relu,64.0,0.35000000000000003,30.0,1280.0,4.0,0.0,0.0012763429740289835,OneCycle,0.015915844589471817,87.58550977706909
21,elu,96.0,0.4,39.0,1631.0,1.0,0.0,0.017352402285285725,OneCycle,0.01919153891503811,47.59664177894592
22,elu,64.0,0.5,29.0,1406.0,1.0,0.0,0.08556573359838428,OneCycle,0.015795331448316574,52.42208194732666
23,elu,64.0,0.5,26.0,1315.0,1.0,0.0,0.06541436126131614,OneCycle,0.01576659455895424,48.10291504859924
24,elu,64.0,0.35000000000000003,25.0,1240.0,2.0,0.0,0.00011226899204007143,OneCycle,0.019587617367506027,54.568459272384644
25,elu,64.0,0.35000000000000003,36.0,1706.0,1.0,0.0,0.04383627281847437,OneCycle,0.021100658923387527,65.12743186950684
26,elu,96.0,0.5,26.0,1396.0,3.0,0.0,0.003520579961758329,OneCycle,0.01537739671766758,47.18125677108765
27,relu,96.0,0.35000000000000003,42.0,1141.0,3.0,0.0,0.0008911863290093576,OneCycle,0.015594600699841976,72.08082866668701
28,elu,96.0,0.4,26.0,1441.0,4.0,0.0,0.003906602072727542,OneCycle,0.015196398831903934,53.98982572555542
29,elu,96.0,0.4,12.0,1732.0,4.0,0.0,0.0023573080957198984,OneCycle,0.016264010220766068,27.596752166748047
30,relu,96.0,0.35000000000000003,33.0,1035.0,4.0,0.0,0.001080243041831409,OneCycle,0.016292016953229904,64.65823364257812
31,elu,96.0,0.45,26.0,1414.0,4.0,0.0,0.003820974970805809,OneCycle,0.015378276817500591,53.847623109817505
32,elu,96.0,0.4,23.0,1485.0,3.0,0.0,0.0027562640207291636,OneCycle,0.015097321942448616,41.943851947784424
33,elu,96.0,0.4,23.0,1209.0,4.0,0.0,0.002315143802914115,OneCycle,0.015494192019104958,46.77633357048035
34,elu,96.0,0.3,29.0,1498.0,3.0,0.0,0.0007977139787439903,OneCycle,0.01526010874658823,53.12460017204285
35,elu,96.0,0.3,22.0,1490.0,3.0,0.0,0.004642043405661204,OneCycle,0.01509852148592472,40.177287101745605
36,elu,96.0,0.4,22.0,1631.0,3.0,0.0,0.0054872265445135475,OneCycle,0.015057780779898167,40.794718980789185
37,elu,96.0,0.05,21.0,1697.0,3.0,0.0,0.004861566061668007,OneCycle,0.021376488730311394,39.4777250289917
38,elu,96.0,0.45,15.0,1320.0,3.0,0.0,0.005622377102086623,OneCycle,0.01544916070997715,27.534199714660645
39,elu,96.0,0.4,22.0,1623.0,3.0,0.0,0.013014987564524214,OneCycle,0.015045213513076305,42.60236120223999
40,elu,96.0,0.3,23.0,1807.0,3.0,0.0,0.011815829600174091,OneCycle,0.01586027629673481,43.318392515182495
41,elu,96.0,0.4,21.0,1590.0,3.0,0.0,0.0026904909601084266,OneCycle,0.015216100960969925,39.235307931900024
42,elu,96.0,0.45,18.0,1492.0,3.0,0.0,0.015910587280553886,OneCycle,0.015100717544555664,32.944509744644165
43,elu,96.0,0.45,13.0,1647.0,3.0,0.0,0.015004057490396176,OneCycle,0.0152973011136055,27.14917492866516
44,elu,200.0,0.45,18.0,1508.0,3.0,0.0,0.02569002252572563,OneCycle,0.015189435333013535,18.41051411628723
45,elu,96.0,0.4,19.0,1769.0,3.0,0.0,0.007377356801162213,OneCycle,0.015016989782452583,36.334282875061035
46,elu,96.0,0.4,23.0,1944.0,3.0,0.0,0.009067931129585375,OneCycle,0.015024280175566673,42.5300133228302
47,elu,96.0,0.4,16.0,1987.0,3.0,0.0,0.007876051584738992,OneCycle,0.015061336569488049,30.94348430633545
48,elu,96.0,0.35000000000000003,13.0,1997.0,2.0,0.0,0.007575066849310365,OneCycle,0.015012518502771854,23.532875299453735
49,elu,200.0,0.35000000000000003,11.0,1925.0,2.0,0.0,0.012133552149826822,OneCycle,0.015328540466725826,11.79516887664795
50,elu,96.0,0.35000000000000003,14.0,1787.0,2.0,0.0,0.03485503027638482,OneCycle,0.015136671252548695,23.35130262374878
51,elu,96.0,0.4,16.0,1978.0,3.0,0.0,0.008058282501181646,OneCycle,0.015086124651134014,32.492823362350464
52,elu,96.0,0.4,10.0,1890.0,2.0,0.0,0.006530681842388743,OneCycle,0.015322343446314335,17.479721069335938
53,elu,96.0,0.4,20.0,1987.0,3.0,0.0,0.009048479239414209,OneCycle,0.015012872405350208,38.61220741271973
54,elu,96.0,0.45,20.0,1856.0,3.0,0.0,0.010630657911685387,OneCycle,0.015044101513922215,40.32135367393494
55,elu,96.0,0.45,19.0,1873.0,3.0,0.0,0.020085020144581012,OneCycle,0.01504181046038866,35.3063383102417
56,elu,160.0,0.5,7.0,1869.0,2.0,0.0,0.020831052511466528,OneCycle,0.015898458659648895,8.717986822128296
57,elu,96.0,0.45,19.0,1998.0,2.0,0.0,0.009337657463876945,OneCycle,0.01496619451791048,31.8527352809906
58,elu,96.0,0.45,18.0,1994.0,2.0,0.0,0.018727997875677995,OneCycle,0.014971058815717697,30.909481287002563
59,elu,96.0,0.45,17.0,1985.0,2.0,0.0,0.009661842316869543,OneCycle,0.01499068085104227,27.749820947647095
60,elu,200.0,0.5,17.0,1998.0,2.0,1.0,0.03321578486133313,OneCycle,0.01521635614335537,24.194319248199463
61,elu,96.0,0.45,14.0,1941.0,2.0,0.0,0.008091364881998934,OneCycle,0.015105039812624454,24.968889951705933
62,elu,96.0,0.45,19.0,1784.0,2.0,0.0,0.009706728720953335,OneCycle,0.014940571039915085,30.997663497924805
63,elu,96.0,0.45,19.0,1803.0,2.0,0.0,0.015079136067383177,OneCycle,0.01495274156332016,30.421613454818726
64,elu,96.0,0.5,14.0,1912.0,2.0,0.0,0.01646555485395637,OneCycle,0.01508933026343584,24.780547857284546
65,elu,160.0,0.5,9.0,1990.0,2.0,0.0,0.013695840585515208,OneCycle,0.01579977199435234,10.758488416671753
66,elu,96.0,0.45,12.0,1995.0,2.0,0.0,0.009952170414567557,OneCycle,0.015161026269197464,20.019227743148804
67,elu,96.0,0.45,20.0,1839.0,2.0,0.0,0.026125669371192733,OneCycle,0.015135104767978191,33.48251271247864
68,elu,96.0,0.5,16.0,1789.0,2.0,0.0,0.019063459312186583,OneCycle,0.014976905658841133,26.021466493606567
69,elu,128.0,0.5,17.0,1744.0,2.0,0.0,0.01893413849026568,OneCycle,0.015256935730576515,22.34291648864746
