,activation,batch_size,cell_dim,dropout,epochs,gene_dim,hid1_dim,hid2_dim,lookahead,lr_max,score,time
0,relu,160.0,40.0,0.2,43.0,150.0,2060.0,1590.0,0.0,0.06864376402660029,0.03544881194829941,43.04259777069092
1,elu,160.0,45.0,0.55,38.0,120.0,590.0,1420.0,1.0,0.0017599851047721937,0.015529045835137367,36.64802837371826
2,relu,64.0,10.0,0.2,42.0,150.0,660.0,2000.0,1.0,0.025125086933225526,0.03021240234375,86.39486837387085
3,elu,64.0,20.0,0.4,17.0,70.0,3120.0,1180.0,0.0,0.04541925230237909,0.018837053328752518,38.809096574783325
4,relu,64.0,25.0,0.35000000000000003,8.0,60.0,1260.0,530.0,1.0,0.004079204818121554,0.01669321209192276,20.136021375656128
5,relu,96.0,35.0,0.6000000000000001,27.0,70.0,1330.0,1770.0,1.0,0.04130914956746737,0.015612972900271416,45.76590132713318
6,relu,64.0,35.0,0.5,47.0,100.0,2010.0,1660.0,1.0,0.00206392506555067,0.0175683181732893,120.99001431465149
7,elu,200.0,15.0,0.2,10.0,90.0,3500.0,320.0,0.0,0.017824481714548625,0.015551257878541946,11.278019428253174
8,elu,96.0,45.0,0.2,33.0,70.0,2020.0,1470.0,0.0,0.015751277486489804,0.03268326818943024,46.4385986328125
9,elu,160.0,50.0,0.45,47.0,180.0,1230.0,1150.0,1.0,0.0019722357553913243,0.015545574948191643,47.915560483932495
10,elu,96.0,35.0,0.25,22.0,250.0,1610.0,1670.0,0.0,0.0016374101808129926,0.016565101221203804,31.293269872665405
11,relu,200.0,10.0,0.45,10.0,260.0,2920.0,970.0,1.0,0.004496852405542213,0.01793767511844635,15.751493215560913
12,relu,96.0,20.0,0.3,8.0,110.0,2960.0,1230.0,1.0,0.03889983225440946,0.015401100739836693,20.98349642753601
13,elu,160.0,20.0,0.7,50.0,150.0,3550.0,310.0,0.0,0.09284590787410174,0.015912238508462906,44.69402599334717
14,relu,64.0,25.0,0.05,44.0,170.0,2000.0,880.0,1.0,0.0016258010154126066,0.023530153557658195,96.85346364974976
15,relu,200.0,10.0,0.05,23.0,160.0,1010.0,1650.0,0.0,0.007396435030744167,0.017873816192150116,18.670987844467163
16,elu,64.0,15.0,0.3,36.0,230.0,2590.0,1640.0,1.0,0.020795204398515777,0.02801167219877243,106.16073846817017
17,relu,128.0,40.0,0.7,38.0,200.0,2040.0,1810.0,1.0,0.0020041951029177896,0.016008928418159485,58.847249031066895
18,relu,160.0,15.0,0.25,18.0,190.0,3210.0,1400.0,0.0,0.00656546687328319,0.016101950779557228,23.53691339492798
19,relu,160.0,20.0,0.25,16.0,10.0,3840.0,530.0,1.0,0.0015751149786941275,0.01809314452111721,23.182392358779907
20,relu,64.0,10.0,0.7,11.0,110.0,700.0,300.0,0.0,0.08033718393924304,0.017484085634350777,18.242369890213013
21,elu,200.0,15.0,0.05,41.0,90.0,3530.0,1210.0,0.0,0.0011384059095403687,0.018140094354748726,39.84846568107605
22,elu,64.0,20.0,0.7,28.0,10.0,1540.0,1760.0,1.0,0.0012734143038121456,0.015412656590342522,67.32149076461792
23,relu,96.0,15.0,0.15000000000000002,37.0,40.0,3610.0,790.0,1.0,0.07269712267632561,0.03638436272740364,68.76164650917053
24,elu,64.0,45.0,0.05,7.0,130.0,2190.0,1490.0,1.0,0.0013205717393558777,0.016183307394385338,23.61053228378296
25,elu,64.0,50.0,0.6000000000000001,8.0,50.0,2920.0,1660.0,1.0,0.001150899212831405,0.017885722219944,28.640830993652344
26,relu,128.0,40.0,0.15000000000000002,31.0,220.0,1620.0,320.0,1.0,0.04612211025818595,0.019869739189743996,36.698920488357544
27,elu,200.0,40.0,0.6000000000000001,50.0,130.0,2940.0,1440.0,0.0,0.0013023925782948672,0.015521395951509476,47.68570923805237
28,elu,64.0,25.0,0.6000000000000001,5.0,240.0,2300.0,660.0,0.0,0.00476559533836981,0.01685892790555954,12.611297130584717
29,elu,96.0,5.0,0.35000000000000003,34.0,270.0,3650.0,1310.0,1.0,0.0020668221147936744,0.016944989562034607,77.34684920310974
30,elu,96.0,5.0,0.7,48.0,120.0,1050.0,680.0,0.0,0.0036547969713859128,0.015509149990975857,49.4642972946167
31,relu,160.0,15.0,0.4,4.0,280.0,1140.0,1840.0,0.0,0.026891324938535126,0.016740702092647552,7.451016187667847
32,relu,96.0,50.0,0.2,8.0,250.0,2210.0,840.0,0.0,0.055766215096880845,0.015496174804866314,14.116857290267944
33,elu,64.0,30.0,0.6000000000000001,14.0,10.0,3300.0,1540.0,0.0,0.0011378292305957458,0.015837406739592552,35.3674578666687
34,elu,96.0,25.0,0.6500000000000001,11.0,30.0,3680.0,1210.0,1.0,0.055614243448673266,0.015170400030910969,27.240980625152588
35,elu,128.0,35.0,0.6500000000000001,4.0,30.0,3650.0,1490.0,1.0,0.023494861143525624,0.01737183704972267,13.144511938095093
36,relu,96.0,5.0,0.05,11.0,80.0,620.0,1840.0,1.0,0.039764223537686355,0.01607646606862545,19.928997039794922
37,elu,160.0,20.0,0.6000000000000001,33.0,70.0,1050.0,700.0,0.0,0.0053695591932061216,0.015347634442150593,25.501707553863525
38,elu,160.0,25.0,0.25,13.0,230.0,1760.0,1320.0,0.0,0.0010133090798815551,0.016499197110533714,14.549922943115234
39,relu,128.0,15.0,0.55,45.0,220.0,1410.0,1860.0,0.0,0.001780639156249299,0.01563095673918724,47.014145374298096
40,elu,96.0,25.0,0.35000000000000003,13.0,290.0,3260.0,1970.0,1.0,0.03932443579916032,0.01554090902209282,36.76589608192444
41,elu,64.0,35.0,0.05,16.0,120.0,910.0,1320.0,1.0,0.005562773920362537,0.01566462591290474,34.93055033683777
42,elu,200.0,50.0,0.25,16.0,290.0,3440.0,1820.0,0.0,0.05573979593644764,0.018433712422847748,21.800514698028564
43,elu,200.0,5.0,0.55,33.0,250.0,1050.0,710.0,0.0,0.09730189080772701,0.01782345399260521,22.16608500480652
44,elu,128.0,15.0,0.05,22.0,200.0,3170.0,460.0,1.0,0.009395949031489527,0.015972469002008438,32.931668281555176
45,relu,64.0,45.0,0.1,41.0,150.0,3140.0,1140.0,1.0,0.0016541127953747035,0.023207442834973335,113.14579558372498
46,elu,200.0,5.0,0.05,7.0,20.0,1510.0,1170.0,1.0,0.0061402524656422154,0.016096778213977814,11.312972784042358
47,relu,64.0,35.0,0.25,23.0,80.0,3590.0,370.0,1.0,0.04315434005725951,0.020340275019407272,58.68826866149902
48,relu,160.0,25.0,0.1,22.0,80.0,3360.0,1800.0,0.0,0.00812644929093541,0.02166234888136387,30.079701900482178
49,elu,96.0,5.0,0.5,36.0,70.0,680.0,1350.0,1.0,0.014391362934073865,0.018871091306209564,49.070173263549805
50,relu,96.0,20.0,0.6500000000000001,29.0,50.0,2540.0,1070.0,1.0,0.0030205971707031485,0.015714341774582863,53.27377200126648
51,elu,96.0,20.0,0.6500000000000001,2.0,130.0,850.0,1000.0,0.0,0.003252932103452538,0.019440313801169395,6.234782457351685
52,elu,96.0,30.0,0.7,27.0,100.0,3930.0,840.0,0.0,0.012815535648329766,0.015612149611115456,42.85204887390137
53,elu,96.0,20.0,0.6500000000000001,1.0,30.0,2600.0,590.0,0.0,0.03015956006125283,0.019641434773802757,6.001076698303223
54,elu,96.0,30.0,0.3,20.0,60.0,2400.0,740.0,0.0,0.002546814393354601,0.016005398705601692,27.505919218063354
55,elu,96.0,20.0,0.3,28.0,110.0,1820.0,940.0,0.0,0.05835904801681819,0.03036261536180973,35.537779092788696
56,elu,96.0,10.0,0.7,25.0,100.0,1330.0,880.0,0.0,0.003562731194895361,0.015200362540781498,29.213080406188965
57,relu,96.0,10.0,0.6500000000000001,31.0,50.0,1360.0,1070.0,1.0,0.0336237957836628,0.015299365855753422,47.112781047821045
58,elu,96.0,10.0,0.6500000000000001,25.0,50.0,1310.0,1070.0,1.0,0.01157480967866342,0.015321522951126099,38.52984261512756
59,elu,96.0,10.0,0.6500000000000001,31.0,50.0,500.0,1010.0,1.0,0.03186397638677889,0.015633221715688705,41.842095375061035
60,relu,96.0,10.0,0.55,26.0,40.0,1290.0,1240.0,1.0,0.018364753869407648,0.015479576773941517,41.402045488357544
61,elu,96.0,10.0,0.7,25.0,60.0,1410.0,1070.0,1.0,0.009428395224615173,0.015185892581939697,38.986124753952026
62,elu,96.0,10.0,0.6500000000000001,30.0,60.0,1380.0,1090.0,1.0,0.011371951783521822,0.015684261918067932,45.59966492652893
63,elu,96.0,10.0,0.7,24.0,90.0,1220.0,920.0,1.0,0.005234774687655195,0.015328366309404373,37.20849633216858
64,elu,96.0,10.0,0.7,24.0,90.0,1210.0,920.0,1.0,0.004632858411248049,0.01537527609616518,36.25390863418579
65,elu,96.0,10.0,0.6000000000000001,25.0,70.0,860.0,1060.0,1.0,0.00781036699055017,0.01532231830060482,35.79618740081787
66,elu,96.0,10.0,0.6500000000000001,20.0,30.0,840.0,1050.0,1.0,0.009220345656009144,0.015196950174868107,30.832796573638916
67,elu,96.0,10.0,0.6500000000000001,20.0,30.0,830.0,1060.0,1.0,0.009262508952519939,0.015174769796431065,30.016791105270386
68,elu,96.0,10.0,0.6500000000000001,19.0,20.0,770.0,1030.0,1.0,0.00938585455842034,0.015214440412819386,28.0140540599823
69,elu,96.0,15.0,0.7,19.0,20.0,740.0,1130.0,1.0,0.00944461572983348,0.015288231894373894,29.567006587982178
70,elu,96.0,15.0,0.7,19.0,20.0,780.0,1250.0,1.0,0.009332726526816453,0.015234536491334438,29.28097701072693
71,elu,96.0,15.0,0.7,19.0,20.0,780.0,1220.0,1.0,0.009233684764002515,0.015274859964847565,28.72316575050354
72,elu,96.0,15.0,0.7,21.0,20.0,510.0,1260.0,1.0,0.007198828492779806,0.01530048344284296,31.522388458251953
73,elu,96.0,10.0,0.7,18.0,30.0,750.0,1200.0,1.0,0.00870498814557339,0.015318515710532665,27.614598274230957
74,elu,96.0,5.0,0.6500000000000001,20.0,10.0,950.0,1010.0,1.0,0.010686294796699988,0.01517332624644041,29.84486699104309
75,elu,96.0,5.0,0.6000000000000001,20.0,10.0,980.0,1010.0,1.0,0.010659369209426514,0.015197702683508396,31.669473886489868
